IRE	Nr.	Quarter	X	Y	X_Merchich	Y_Merchich	Z	Depth_max	From	To	Thickness	Lithology
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	115	0	1	1	loam
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	115	1	4	3	sand
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	115	4	75	71	limestone
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	115	75	87	12	fragile sandstone
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	115	87	101	14	limestone
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	115	101	115	14	fine sand
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	0	6	6	limestone
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	6	9	3	marl
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	9	45	36	limestone
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	45	80	35	marly limestone
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	80	90	10	marl
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	90	100	10	marl-limestone
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	100	166	66	limestone
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	166	172	6	sandy limestone
6475/70	6475	70	-9.437665	30.299248	111650	373450	79	180	172	180	8	clayey sand
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	0	1	1	loam
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	1	7	6	marly limestone
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	7	8	1	sand
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	8	46	38	clay
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	46	50	4	limestone
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	50	80	30	clay
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	80	87	7	limestone
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	87	108	21	clay
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	108	110	2	limestone
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	110	126	16	clay
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	126	127	1	limestone
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	127	136	9	limestone
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	136	150	14	clay
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	150	165	15	limestone
6474/70	6474	70	-9.386275	30.262874	116450	369250	106	180	165	180	15	clay
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	0	2	2	limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	2	4	2	loam
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	4	9	5	marly clay
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	9	21	12	limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	21	27	6	marl-limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	27	48	21	marl
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	48	52	4	clay
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	52	58	6	clay
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	58	61	3	marl
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	61	67	6	limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	67	69	2	marl-limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	69	72	3	limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	72	75	3	marl-limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	75	91	16	limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	91	92	1	marl
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	92	95	3	sandy limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	95	96	1	clay
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	96	103	7	limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	103	104	1	marl
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	104	108	4	marl-limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	108	118	10	marly limestone
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	118	119	1	clay
6153/70	6153	70	-9.403716	30.335034	115050	377300	68	120	119	120	1	limestone
6188/70	6188	70	-9.350442	30.338158	120180	377470	81	175	0	3	3	clay
6188/70	6188	70	-9.350442	30.338158	120180	377470	81	175	3	9	6	limestone
6188/70	6188	70	-9.350442	30.338158	120180	377470	81	175	9	23	14	marl
6188/70	6188	70	-9.350442	30.338158	120180	377470	81	175	23	43	20	limestone
6188/70	6188	70	-9.350442	30.338158	120180	377470	81	175	43	100	57	marly limestone
6188/70	6188	70	-9.350442	30.338158	120180	377470	81	175	100	175	75	limestone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	0	1	1	loam
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	1	4	3	clay
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	4	20	16	marl-limestone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	20	30	10	marly limestone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	30	45	15	limestone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	45	48	3	clay
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	48	75	27	limestone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	75	82	7	marl-limestone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	82	118	36	limestone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	118	125	7	sandstone
6371/70	6371	70	-9.472012	30.337930	108500	377850	33	128	125	128	3	sand
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	120	0	1	1	loam
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	120	1	4	3	sand
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	120	4	75	71	limestone
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	120	75	87	12	fragile sandstone
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	120	87	101	14	limestone
7003/70	7003	70	-9.489286	30.314829	106750	375350	32	120	101	120	19	fine sand
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	0	0.2	0.2	loam
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	0.2	5	4.8	fragile sandstone
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	5	6	1	sandy clay
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	6	13	7	fragile sandstone
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	13	16	3	sandy clay
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	16	25	9	fragile sandstone
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	25	27	2	sandy clay
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	27	37	10	sandstone
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	37	39	2	sandy clay
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	39	41	2	sandstone
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	41	44	3	sandy clay
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	44	45	1	sandstone
3457/70	3457	70	-9.515777	30.275639	104050	371100	49.29	46	45	46	1	sandy clay
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	0	5	5	clayey loam
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	5	25	20	alluvium
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	25	30	5	marl
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	30	37	7	alluvium
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	37	39	2	pebbles
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	39	50	11	gravelly marl
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	50	76	26	alluvium
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	76	81	5	clay
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	81	95	14	marl
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	95	100	5	calcareous marl
6257/70	6257	70	-9.373964	30.385356	118100	382775	45	120	100	120	20	clay
6204/70	6204	70	-9.507541	30.353995	105150	379750	12	42	0	1	1	sandy loam
6204/70	6204	70	-9.507541	30.353995	105150	379750	12	42	1	38	37	alluvium
6204/70	6204	70	-9.507541	30.353995	105150	379750	12	42	38	39	1	marl
6204/70	6204	70	-9.507541	30.353995	105150	379750	12	42	39	40	1	gravel
6204/70	6204	70	-9.507541	30.353995	105150	379750	12	42	40	42	2	marl
0003/69	0003	69	-9.524236	30.291630	103300	372900	40	51	0	2	2	fine sand
0003/69	0003	69	-9.524236	30.291630	103300	372900	40	51	2	20.5	18.5	sandstone
0003/69	0003	69	-9.524236	30.291630	103300	372900	40	51	20.5	24	3.5	limestone
0003/69	0003	69	-9.524236	30.291630	103300	372900	40	51	24	39	15	sandstone
0003/69	0003	69	-9.524236	30.291630	103300	372900	40	51	39	47	8	limestone
0003/69	0003	69	-9.524236	30.291630	103300	372900	40	51	47	51	4	sandy marl
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	0	4.5	4.5	dune sand
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	4.5	8.3	3.8	sandstone
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	8.3	14	5.7	sandstone
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	14	21	7	sandy clay
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	21	28	7	sandstone
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	28	34	6	sandstone
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	34	60	26	sandstone
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	60	68	8	sandstone
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	68	95	27	sandstone
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	95	97	2	sandy clay
0859/69	0859	69	-9.550458	30.334670	100951	377757	13.6	110	97	110	13	clayey sand
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	0	1	1	loam
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	1	3	2	limestone
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	3	5	2	clay
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	5	8	3	marl-limestone
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	8	9	1	clay
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	9	11	2	gravel
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	11	36	25	marl-limestone
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	36	48	12	gravel
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	48	50	2	marl-limestone
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	50	54	4	gravel
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	54	60	6	clay
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	60	62	2	sandstone
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	62	64	2	sandstone
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	64	76	12	coarse sand
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	76	110	34	fine sand
1183/69	1183	69	-9.534115	30.405090	102800	385500	72.15	112	110	112	2	sandy clay
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	0	16	16	dune sand
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	16	18	2	sand
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	18	19	1	sand
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	19	22	3	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	22	25	3	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	25	26	1	clayey sand
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	26	27	1	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	27	28	1	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	28	33	5	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	33	37	4	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	37	41	4	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	41	42	1	clay
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	42	43	1	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	43	44	1	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	44	45	1	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	45	48	3	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	48	53	5	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	53	59	6	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	59	61	2	sandstone
0871/69	0871	69	-9.538674	30.313719	102000	375396	29.5	70	61	70	9	sandstone
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	0	1	1	sand
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	1	2	1	sandy marl
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	2	3	1	sandy marl
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	3	9	6	sandy marl
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	9	10	1	sandy marl
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	10	12	2	sandy marl
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	12	15	3	sandy limestone
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	15	24	9	sandstone
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	24	26	2	sandstone
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	26	27	1	clayey sand
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	27	28	1	clayey sand
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	28	34	6	sandstone
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	34	40	6	sandstone
0873/69	0873	69	-9.541318	30.304924	101711	374431	24	55	40	55	15	fine sand
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	0	1	1	alluvium
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	1	3	2	sandy limestone
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	3	5	2	marly clay
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	5	6	1	sandy limestone
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	6	12	6	clay
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	12	15	3	sandy limestone
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	15	18	3	fine sand
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	18	25	7	sandstone
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	29	40	11	sand
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	40	50	10	clay
0993/69	0993	69	-9.575495	30.385743	98750	383500	20	51	50	51	1	pebbles
1157/69	1157	69	-9.530541	30.419467	103200	387080	95	100	0	3	3	limestone
1157/69	1157	69	-9.530541	30.419467	103200	387080	95	100	3	19	16	marly limestone
1157/69	1157	69	-9.530541	30.419467	103200	387080	95	100	19	33	14	limestone
1157/69	1157	69	-9.530541	30.419467	103200	387080	95	100	33	36	3	clay
1157/69	1157	69	-9.530541	30.419467	103200	387080	95	100	36	75	39	clay
